Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,13000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,9000000
United States,$10 Million to Expand Electric Vehicle Rebate Program to Include Trucks,multiple energy types,16/02/2021,16/02/2021,10000000
United States,Grid Storage Launchpad Program,multiple renewable,10/03/2021,10/03/2021,75000000
United States,Grid Storage Launchpad Program,multiple renewable,10/03/2021,10/03/2021,8300000
United States,LED Streetlight Conversions in 77 Cities and Towns Across Massachusetts,energy efficiency,22/04/2021,22/04/2021,5500000
United States,$13 Million in Green Communities Grants,multiple renewable,07/08/2021,07/08/2021,13000000
United States,"$7,9 Million in Green Communities Grant Awards",multiple renewable,20/09/2021,20/09/2021,7900000
United States,$2 Million in Solar Grants to Eight State Facilities,solar,22/09/2021,22/09/2021,2000000
United States,Zero-Emission Vehicle Package in the California Comeback Plan,multiple energy types,23/09/2021,23/09/2021,3900000000
United States,$33 Million Investment in Clean Transportation Projects,multiple energy types,10/11/2021,10/11/2021,33000000
United States,Investment in State-of-the-Art Manufacturing Facility to Build Wind Turbine Components to Serve Entire U.S. Offshore Wind Industry,wind,21/12/2021,21/12/2021,250000000
